ID,Name,Description,Related_Attack_Pattern_IDs,ChildOf_IDs,Modes_of_Introduction_Phase,Potential_Mitigations
1102,Reliance on Machine-Dependent Data Representation,"The code uses a data representation that relies on low-level
					data representation or constructs that may vary across different processors,
					physical machines, OSes, or other physical components.",,758,,
1103,Use of Platform-Dependent Third Party Components,"The product relies on third-party components that do
					not provide equivalent functionality across all desirable
					platforms.",,758,,
1104,Use of Unmaintained Third Party Components,"The product relies on third-party components that are not
					actively supported or maintained by the original developer or a trusted proxy
					for the original developer.",,1357,,
1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but
					it does not sufficiently encapsulate or isolate this functionality from
					the rest of the code.",,758;1061,,
1106,Insufficient Use of Symbolic Constants,"The source code uses literal constants that may need to change
					or evolve over time, instead of using symbolic constants.",,1078,,
1107,Insufficient Isolation of Symbolic Constant Definitions,"The source code uses symbolic constants, but it does not
					sufficiently place the definitions of these constants into a more centralized or
					isolated location.",,1078,,
1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on using
					or setting global variables throughout various points in the code, instead of
					preserving the associated information in a narrower, more local
					context.",,1076,,
1109,Use of Same Variable for Multiple Purposes,"The code contains a callable, block, or other code element in
					which the same variable is used to control more than one unique task or store
					more than one instance of data.",,1078,,
111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",,695;20,Implementation,Implement error handling around the JNI call.;Do not use JNI calls if you don't trust the native library.;Be reluctant to use JNI calls. A Java API equivalent may exist.
1110,Incomplete Design Documentation,"The product's design documentation does not adequately describe
					control flow, data flow, system initialization, relationships between tasks,
					components, rationales, or other important aspects of the
					design.",,1059,,
1111,Incomplete I/O Documentation,"The product's documentation does not adequately define inputs,
					outputs, or system/software interfaces.",,1059,,
1112,Incomplete Documentation of Program Execution,"The document does not fully define all mechanisms that are used
					to control or influence how product-specific programs are
					executed.",,1059,,
1113,Inappropriate Comment Style,"The source code uses comment styles or formats that are
					inconsistent or do not follow expected standards for the
					product.",,1078,,
1114,Inappropriate Whitespace Style,"The source code contains whitespace that is inconsistent across
					the code or does not follow expected standards for the
					product.",,1078,,
1115,Source Code Element without Standard Prologue,"The source code contains elements such as source files 
					that do not consistently provide a prologue or header that has been
					standardized for the project.",,1078,,
1116,Inaccurate Comments,"The source code contains comments that do not accurately
					describe or explain aspects of the portion of the code with which the comment is
					associated.",,1078,,Verify that each comment accurately reflects what is intended to happen during execution of the code.
1117,Callable with Insufficient Behavioral Summary,"The code contains a function or method whose signature and/or associated
					inline documentation does not sufficiently describe the callable's inputs, outputs,
					side effects, assumptions, or return codes.",,1078,,
1118,Insufficient Documentation of Error Handling Techniques,"The documentation does not sufficiently describe the techniques
					that are used for error handling, exception processing, or similar
					mechanisms.",,1059,,
1119,Excessive Use of Unconditional Branching,"The code uses too many unconditional branches (such as
					""goto"").",,1120,,
112,Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,230;231,1286;20,Implementation,
1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined,
					quantitative measure.",,710,,
1121,Excessive McCabe Cyclomatic Complexity,"The code contains McCabe cyclomatic complexity that exceeds a
	desirable maximum.",,1120,,
1122,Excessive Halstead Complexity,"The code is structured in a way that a Halstead complexity
					measure exceeds a desirable maximum.",,1120,,
1123,Excessive Use of Self-Modifying Code,"The product uses too much self-modifying
					code.",,1120,,
1124,Excessively Deep Nesting,"The code contains a callable or other code grouping in which
					the nesting / branching is too deep.",,1120,,
1125,Excessive Attack Surface,"The product has an attack surface whose quantitative
					measurement exceeds a desirable maximum.",,1120,,
1126,Declaration of Variable with Unnecessarily Wide Scope,"The source code declares a variable in one scope, but the
					variable is only used within a narrower scope.",,710,,
1127,Compilation with Insufficient Warnings or Errors,"The code is compiled without sufficient warnings enabled, which
					may prevent the detection of subtle bugs or quality
					issues.",,710,Build and Compilation,
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",105;31;34;85,93;20;436,Implementation,"Construct HTTP headers very carefully, avoiding the use of non-validated input data.;;Use and specify an output encoding that can be handled by the downstream component that is reading the output. Common encodings include ISO-8859-1, UTF-7, and UTF-8. When an encoding is not specified, a downstream component may choose a different encoding, either by assuming a default encoding or automatically inferring which encoding is being used, which can be erroneous. When the encodings are inconsistent, the downstream component might treat some character or byte sequences as special, even if they are not special in the original encoding. Attackers might then be able to exploit this discrepancy and conduct injection attacks; they even might be able to bypass protection mechanisms that assume the original encoding is also being used by the downstream component.;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked."
114,Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,108;640,73;20,Implementation,"Libraries that are loaded should be well understood and come from a trusted source. The application can execute code contained in the native libraries, which often contain calls that are susceptible to other security problems, such as buffer overflows or command injection. All native libraries should be validated to determine if the application requires the use of the library. It is very difficult to determine what these native libraries actually do, and the potential for malicious code is high. In addition, the potential for an inadvertent mistake in these native libraries is also high, as many are written in C or C++ and may be susceptible to buffer overflow or race condition problems. To help prevent buffer overflow attacks, validate all input to native calls for content and length. If the native library does not come from a trusted source, review the source code of the library. The library should be built from the reviewed source before using it."
115,Misinterpretation of Input,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",,436,Architecture and Design;Implementation,
116,Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",104;73;81;85,707,Implementation;Operation,";;Understand the context in which your data will be used and the encoding that will be expected. This is especially important when transmitting data between different components, or when generating outputs that can contain multiple encodings at the same time, such as web pages or multi-part mail messages. Study all expected communication protocols and data representations to determine the required encoding strategies.;In some cases, input validation may be an important strategy when output encoding is not a complete solution. For example, you may be providing the same output that will be processed by multiple consumers that use different encodings or representations. In other cases, you may be required to allow user-supplied input to contain control information, such as limited HTML tags that support formatting in a wiki or bulletin board. When this type of requirement must be met, use an extremely strict allowlist to limit which control sequences can be used. Verify that the resulting syntactic structure is what you expect. Use your normal encoding methods for the remainder of the input.;Use input validation as a defense-in-depth measure to reduce the likelihood of output encoding errors (see CWE-20).;Fully specify which encodings are required by components that will be communicating with each other.;When exchanging data between components, ensure that both components are using the same character encoding. Ensure that the proper encoding is applied at each interface. Explicitly set the encoding you are using whenever the protocol allows you to do so."
1164,Irrelevant Code,"The product contains code that is not essential for execution,
	     i.e. makes no state changes and has no side effects that alter
	     data or control flow, such that removal of the code would have no impact
	     to functionality or correctness.",,710,,
117,Improper Output Neutralization for Logs,The product does not neutralize or incorrectly neutralizes output that is written to logs.,268;81;93,116;20,Implementation,";Use and specify an output encoding that can be handled by the downstream component that is reading the output. Common encodings include ISO-8859-1, UTF-7, and UTF-8. When an encoding is not specified, a downstream component may choose a different encoding, either by assuming a default encoding or automatically inferring which encoding is being used, which can be erroneous. When the encodings are inconsistent, the downstream component might treat some character or byte sequences as special, even if they are not special in the original encoding. Attackers might then be able to exploit this discrepancy and conduct injection attacks; they even might be able to bypass protection mechanisms that assume the original encoding is also being used by the downstream component.;Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked."
1173,Improper Use of Validation Framework,"The product does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",,20,Architecture and Design;Implementation,Properly use provided input validation frameworks.
1174,ASP.NET Misconfiguration: Improper Model Validation,"The ASP.NET application does not use, or incorrectly uses, the model validation framework.",,1173,Architecture and Design;Implementation,
1176,Inefficient CPU Computation,"The product performs CPU computations using
         algorithms that are not as efficient as they could be for the
         needs of the developer, i.e., the computations can be
         optimized further.",,405,Architecture and Design;Implementation,
1177,Use of Prohibited Code,"The product uses a function, library, or third party component
	     that has been explicitly prohibited, whether by the developer or
	     the customer.",,710,Implementation,
118,Incorrect Access of Indexable Resource ('Range Error'),"The product does not restrict or incorrectly restricts operations within the boundaries of a resource that is accessed using an index or pointer, such as memory or files.",10;14;24;45;46;47;8;9,664,Implementation,
1187,DEPRECATED: Use of Uninitialized Resource,This entry has been deprecated because it was a duplicate of CWE-908. All content has been transferred to CWE-908.,,,,
1188,Initialization of a Resource with an Insecure Default,"The product initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.",665,1419;665,,
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents.,124,653;668,Architecture and Design;Implementation,
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer.",10;100;123;14;24;42;44;45;46;47;8;9,118;20,Implementation,";;;;;;Replace unbounded copy functions with analogous functions that support length arguments, such as strcpy with strncpy. Create these if they are not available."
1190,DMA Device Enabled Too Early in Boot Phase,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product.",180,696,Architecture and Design,"Utilize an IOMMU to orchestrate IO access from
                 the start of the boot process."
1191,On-Chip Debug and Test Interface With Improper Access Control,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,1;180,284,Architecture and Design;Implementation,"If feasible, the manufacturer should disable the JTAG interface or implement authentication and authorization for the JTAG interface. If authentication logic is added, it should be resistant to timing attacks. Security-sensitive data stored in registers, such as keys, etc. should be cleared when entering debug mode."
1192,Improper Identifier for IP Block used in System-On-Chip (SOC),"The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components.",113,657,Architecture and Design;Implementation;Operation,
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.,1;180,696,,
12,ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,,756,Implementation;Operation,Handle exceptions appropriately in source code. ASP .NET applications should be configured to use custom error pages instead of the framework default page.;Do not attempt to process an error or attempt to mask it.;Verify return values are correct and do not supply sensitive information about the system.
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",10;100;14;24;42;44;45;46;47;67;8;9;92,119;119;119;119;20,Implementation,";;;;;For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoid CWE-602. Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server.;;;Most mitigating technologies at the compiler or OS level to date address only a subset of buffer overflow problems and rarely provide complete protection against even that subset. It is good practice to implement strategies to increase the workload of an attacker, such as leaving the attacker to guess an unknown value that changes every program execution.;Replace unbounded copy functions with analogous functions that support length arguments, such as strcpy with strncpy. Create these if they are not available.;When the set of acceptable objects, such as filenames or URLs, is limited or known, create a mapping from a set of fixed input values (such as numeric IDs) to the actual filenames or URLs, and reject all other inputs.;Run your code using the lowest privileges that are required to accomplish the necessary tasks [REF-76]. If possible, create isolated accounts with limited privileges that are only used for a single task. That way, a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example, database applications rarely need to run as the database administrator, especially in day-to-day operations.;"
1204,Generation of Weak Initialization Vector (IV),"The product uses a cryptographic primitive that uses an Initialization
			Vector (IV), but the product does not generate IVs that are
			sufficiently unpredictable or unique according to the expected
			cryptographic requirements for that primitive.
			",20;97,330,Implementation,
1209,Failure to Disable Reserved Bits,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state.",121,710,Architecture and Design;Implementation;Documentation,;
121,Stack-based Buffer Overflow,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",,788;787,Implementation,";Use an abstraction library to abstract away risky APIs. Not a complete solution.;Implement and perform bounds checking on input.;Do not use dangerous functions such as gets. Use safer, equivalent functions which check for boundary errors.;"
122,Heap-based Buffer Overflow,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc().",92,788;787,Implementation,"Pre-design: Use a language or compiler that performs automatic bounds checking.;Use an abstraction library to abstract away risky APIs. Not a complete solution.;;;Implement and perform bounds checking on input.;Do not use dangerous functions such as gets. Look for their safe equivalent, which checks for the boundary.;Use OS-level preventative functionality. This is not a complete solution, but it provides some defense in depth."
1220,Insufficient Granularity of Access Control,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",1;180,284,Architecture and Design;Implementation,
1221,Incorrect Register Defaults or Module Parameters,Hardware description language code incorrectly defines register defaults or hardware Intellectual Property (IP) parameters to insecure values.,166,1419,Implementation,"During hardware design, all the system parameters and register defaults must be reviewed to identify security sensitive settings.;The default values of these security sensitive settings need to be defined as part of the design review phase.;Testing phase should use automated tools to test that values are configured per design specifications."
1222,Insufficient Granularity of Address Regions Protected by Register Locks,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.,679,1220,Architecture and Design,
1223,Race Condition for Write-Once Attributes,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue.",26,362,Architecture and Design,During hardware design all register write-once or sticky fields must be evaluated for proper configuration.;The testing phase should use automated tools to test that values are not reprogrammable and that write-once fields lock on writing zeros.
1224,Improper Restriction of Write-Once Bit Fields,"The hardware design control register ""sticky bits"" or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.",680,284,Architecture and Design;Implementation,During hardware design all register write-once or sticky fields must be evaluated for proper configuration.;The testing phase should use automated tools to test that values are not reprogrammable and that write-once fields lock on writing zeros.
1229,Creation of Emergent Resource,"The product manages resources or behaves in a way that indirectly creates a new, distinct resource that can be used by attackers in violation of the intended policy.",,664,,
123,Write-what-where Condition,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow.",,787;119;119,Implementation,Use a language that provides appropriate memory abstractions.;Use OS-level preventative functionality integrated after the fact. Not a complete solution.
